product_name,custom_code,material_type,material_finish,eb_brand,panel_type,thickness_band_mm,edge_band_code,price_per_running_meter
AWG005,LG-1664,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWG005,LG-1664,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB002,GR-351,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB002,GR-351,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWB002,GR-351,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWB002,GR-351,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWB002,GR-351,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWB002,GR-351,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BRW001,GR-325,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BRW001,GR-325,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BRW001,GR-325,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BRW001,GR-325,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BRW001,GR-325,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BRW001,GR-325,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BRW003,GR-347,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BRW003,GR-347,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BRW003,GR-347,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BRW003,GR-347,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BRW003,GR-347,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BRW003,GR-347,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BEW001,SM-1731,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BEW001,SM-1731,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BEW001,SM-1731,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BEW001,SM-1731,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BEW001,SM-1731,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BEW001,SM-1731,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BEW004,CF-597,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BEW004,CF-597,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BEW004,CF-597,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BEW004,CF-597,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BEW004,CF-597,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BEW004,CF-597,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
GOW001,TK-01,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
GOW001,TK-01,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
GOW001,TK-01,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
GOW001,TK-01,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
GOW001,TK-01,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
GOW001,TK-01,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
GOW002,TK-04,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
GOW002,TK-04,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
GOW002,TK-04,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
GOW002,TK-04,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
GOW002,TK-04,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
GOW002,TK-04,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
