Product serial number,Product name (editable),Custom code (editable),Description (editable),Material Brand Name,Surface Type,Inventory Type,"Material Type
MTY

#mid(0,3)","Material Finish Category
MFC

#mid(5,3)",Grain,"Material Thk 
(In mm)
MTH

#mid(13,6)","Material Square 
Foot Cost 
(Per Sq.Ft)
MSC
#mid(20,6)","Material Glue Cost 
(Per Sq.Ft)
MGC
#mid(27,6)",Material Cost,"Material Size 
(Length in Feet)","Material Size 
(Width in Feet)",EB Article Code,EB Internal Code,EB Brand Name,EB Description,"Edgeband Glue Cost
(Per Running Meter)
EGC","Edge Band
22_0p8","Edge Band
22_1p0","Edge Band
22_2p0","Edge Band
23_1p3","Edge Band
25_1p3","Edge Band
30_0p8","Edge Band
30_2p0","Edge Band
45_0p8","Edge Band
45_2p0",Purchase Cost Validation,Purchase Cost Validate by,Validation Completaion Date,Remark ,,,"Edgeband Glue Cost
(Per Running Meter)
EGC
#mid(0,6)","Edge Band
22_0p8

#mid(8,6)","Edge Band
22_1p0

#mid(15,6)","Edge Band
22_2p0

#mid(22,6)","Edge Band
23_1p0

#mid(29,6)","Edge Band
23_1p3

#mid(36,6)","Edge Band
25_1p3

#mid(43,6)","Edge Band
30_0p8

#mid(50,6)","Edge Band
30_2p0

#mid(57,6)","Edge Band
45_0p8

#mid(64,6)","Edge Band
45_2p0

#mid(71,6)"
3FO3GKE9S4LV,PLBSLCM18,HW/BSLCM/18MM,PLBSLCM18,Homworks,,Inventory,Core Material,NA,NoGrain,18,87,0,2784,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,2357.76,,,,,,,,,,,,,
3FO3GKEF8P8V,PRELAMWT,Dummy Surface,PRELAMWT,Homworks,,Inventory,Dummy Surface,NA,NoGrain,0,0,0,0,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3FO3GKAPE6OQ,PRELAMSM,Dummy Surface,PRELAMSM,Homworks,,Inventory,Dummy Surface,NA,NoGrain,0,0,0,0,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3FO3GKB4HSGD,PRELAMCM,Dummy Surface,PRELAMCM,Homworks,,Inventory,Dummy Surface,NA,NoGrain,0,0,0,0,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3FO3F6R06KJI,NOSURF,Dummy Surface,NOSURF,Homworks,,Inventory,Dummy Surface,NA,NoGrain,0,0,0,0,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3FO3GKEF9NO6,WPCNOSURF,Dummy Surface,WPCNOSURF,Homworks,,Inventory,Dummy Surface,NA,NoGrain,0,0,0,0,8,4,75701,EBINL001,Rehau,Frosty White - I,6.75,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3FO3GKE0THC3,INL001A,HW/BK-WT/0.8MM,WHITE,K BOARD,,Inventory,Laminate,Matt,NoGrain,0.8,32,4.2,1024,8,4,75701,EBINL001,Rehau,Frosty White - I,6.75,6,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,350,0.7,Edgeband need to update,,6,,,,,,,,27.03,
3FO3GKAQVT2H,INL001B,HW/BK-WT/1MM,WHITE,K BOARD,,Inventory,Laminate,Matt,NoGrain,1,32,4.2,1024,8,4,75701,EBINL001,Rehau,Frosty White - I,6.75,6,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,535,,Edgeband need to update,,6,,,,,,,,27.03,
3FO3GKDWH6B0,INL001C,HW/BK-WT/1.25MM,WHITE,K BOARD,,Inventory,Laminate,Matt,NoGrain,1.25,32,4.2,1024,8,4,75701,EBINL001,Rehau,Frosty White - I,6.75,6,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,650,,Edgeband need to update,,6,,,,,,,,27.03,
3FO3GKAPGXNK,INL002A,HW/BK-SM/0.8MM,SMOKEY MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,0.8,32,4.2,1024,8,4,701P,EBINL002,Rehau,Smoky Mesh,6.75,12,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,355,0.7,Edgeband need to update,,12.72,,,,,,,,41.34,
3FO3GKEF68B5,INL002B,HW/BK-SM/1MM,SMOKEY MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,1,32,4.2,1024,8,4,701P,EBINL002,Rehau,Smoky Mesh,6.75,12,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,550,,Edgeband need to update,,12.72,,,,,,,,41.34,
